Year,Winner,City,State,Latitude,Longitude
2025,Florida,Gainesville,Florida,29.6516,-82.3248
2024,Connecticut,Mansfield,Connecticut,41.8084,-72.2495
2023,Connecticut,Mansfield,Connecticut,41.8084,-72.2495
2022,Kansas,Lawrence,Kansas,38.9717,-95.2353
2021,Baylor,Waco,Teaxas,31.5493,-97.1467
2020,,,,,
2019,Viriginia,Charlottesvile,Virginia,38.0293,-78.4767
2018,Villanova,Villanova,Pennsylvania,40.0379,-75.3433
2017,North Carolina,Chapel Hill,North Carolina,35.9132,-79.0558
2016,Villanova,Villanova,Pennsylvania,40.0379,-75.3433
2015,Duke,Durham,North Carolina,35.994,-78.8986
2014,Connecticut,Mansfield,Connecticut,41.8084,-72.2495
2013,Louisville,Louisville,Kentucky,38.2527,-85.7585
2012,Kentucky,Lexington,Kentucky,38.0406,-84.5037
2011,Connecticut,Mansfield,Connecticut,41.8084,-72.2495
2010,Duke,Durham,North Carolina,35.994,-78.8986
